"alteNr","pmb"
"A003307",3564
"A003308",3568
"A003309",3573
"A003313",3576
"A003320",3579
"A003323",3582
"A003325",3585
"A003326",3589
"A003328",3593
"A003330",3597
"A003331",3600
"A003336",3603
"A003337",3608
"A003338",3612
"A003339",3615
"A003340",3618
"A003343",3622
"A003345",3627
"A003349",3630
"A003355",3634
"A003356",3638
"A003357",3641
"A003358",3644
"A003361",3648
"A003363",3653
"A003364",3656
"A003365",3659
"A003366",3663
"A003368",3666
"A003369",3669
"A003370",3673
"A003371",3677
"A003372",3682
"A003373",3686
"A003374",3690
"A003375",3694
"A003377",3698
"A003379",3702
"A003380",3706
"A003384",3709
"A003385",3711
"A003386",3715
"A003388",3718
"A003389",3723
"A003390",3727
"A003392",3731
"A003397",3735
"A003399",3739
"A003403",3744
"A003404",3747
"A003406",3750
"A003408",3753
"A003411",3758
"A003414",3762
"A003415",3765
"A003420",3768
"A003421",3770
"A003423",3774
"A003427",3775
"A003428",3779
"A003430",3784
"A003436",3787
"A003443",3791
"A003447",3794
"A003449",3797
"A003456",3801
"A003459",3805
"A003470",3810
"A003471",3814
"A003476",3817
"A003480",3820
"A003488",3824
"A003492",3827
"A003493",3831
"A003494",3835
"A003495",3839
"A003496",3844
"A003497",3849
"A003499",3853
"A003500",3857
"A003503",3861
"A003506",3869
"A003513",3873
"A003518",3876
"A003520",3878
"A003521",3882
"A003526",3885
"A003527",3888
"A003528",3892
"A003529",3896
"A003530",3900
"A003531",3904
"A003532",3908
"A003534",3912
"A003535",3916
"A003537",3919
"A003538",3923
"A003540",3926
"A003541",3930
"A003542",3933
"A003543",3936
"A003545",3940
"A003546",3943
"A003549",3948
"A003553",3949
"A003558",3952
"A003561",3956
"A003565",3960
"A003566",3963
"A003569",3966
"A003574",3971
"A003577",3975
"A003578",3978
"A003580",3982
"A003583",3986
"A003586",3991
"A003587",3994
"A003588",3998
"A003589",4002
"A003593",4006
"A003596",4009
"A003600",4012
"A003601",4016
"A003605",4020
"A003606",4023
"A003607",4026
"A003613",4030
"A003614",4035
"A003628",4039
"A003629",4040
"A003631",4045
"A003634",4047
"A003639",4048
"A003645",4051
"A003655",4054
"A003657",4057
"A003668",4061
"A003673",4064
"A003675",4068
"A003680",4073
"A003681",4076
"A003682",4079
"A003684",4080
"A003686",4083
"A003687",4084
"A003688",4087
"A003692",4090
"A003697",4093
"A003699",4096
"A003703",4099
"A003704",4103
"A003705",4107
"A003714",4112
"A003717",4117
"A003719",4120
"A003722",4124
"A003723",4127
"A003727",4132
"A003728",4135
"A003732",4138
"A003733",4142
"A003734",4146
"A003735",4149
"A003738",4153
"A003739",4158
"A003746",4161
"A003747",4165
"A003748",4169
"A003752",4173
"A003754",4176
"A003755",4179
"A003756",4182
"A003761",4186
"A003764",4191
"A003766",4194
"A003768",4197
"A003773",4200
"A003777",4203
"A003782",4206
"A003789",4209
"A003792",4213
"A003793",4216
"A003794",4220
"A003797",4223
"A003801",4226
"A003802",4230
"A003803",4234
"A003807",4238
"A003810",4242
"A003812",4246
"A003814",4249
"A003823",4252
"A003824",4255
"A003825",4258
"A003826",4262
